Департамент;Тип процесса;ИИ-инструмент;Дата начала;Дата  планируемого оконания;Дата фактического окончания
Департамент контроля операций;Обеспечивающий;Document Generation;29.11.2024;23.01.2025;29.01.2025
Департамент контроля операций;Обеспечивающий;Транскрибация;11.04.2024;07.05.2024;03.05.2024
Центр обеспечения документооборота;Обеспечивающий;Чат-бот;01.02.2025;08.04.2025;
Центр обеспечения документооборота;Обеспечивающий;Decision Making ;19.09.2025;09.11.2025;
Центр обеспечения документооборота;Обеспечивающий;OCR;13.02.2027;11.04.2027;
Центр обеспечения документооборота;Обеспечивающий;Семантический поиск;24.05.2027;21.08.2027;
Центр обеспечения документооборота;Обеспечивающий;Анализ на соответствие ЛПА;29.05.2026;16.08.2026;
Центр обеспечения документооборота;Обеспечивающий;Анализ на ключевые слова;22.07.2024;08.10.2024;26.09.2024
Центр обеспечения документооборота;Обеспечивающий;Сбор информации из Интернета;09.06.2024;23.08.2024;16.09.2024
Центр обеспечения документооборота;Обеспечивающий;Транскрибация;05.10.2027;27.10.2027;
Центр обеспечения документооборота;Обеспечивающий;Document Generation;22.02.2026;21.04.2026;
Центр обеспечения документооборота;Обеспечивающий;Создание презентаций ;08.08.2027;10.10.2027;
Центр обеспечения документооборота;Обеспечивающий;Генерация медиаконтента;05.02.2025;01.04.2025;13.03.2025
Департамент управления операциями на финансовом рынке;Обеспечивающий;Перевод (инностранные языки);03.09.2025;09.11.2025;
Департамент маркетинга;Обеспечивающий;Создание презентаций ;14.12.2027;04.01.2028;
Департамент маркетинга;Обеспечивающий;Генерация медиаконтента;16.03.2024;05.05.2024;27.04.2024
Департамент маркетинга;Обеспечивающий;Транскрибация;11.04.2027;05.06.2027;
Департамент стратегического управления;Обеспечивающий;Перевод (инностранные языки);17.07.2024;07.09.2024;03.10.2024
Департамент стратегического управления;Обеспечивающий;Генерация медиаконтента;17.11.2024;04.02.2025;23.02.2025
Департамент управления денежным обращением;Обеспечивающий;Decision Making ;07.10.2024;14.12.2024;14.12.2024
Департамент управления денежным обращением;Обеспечивающий;Сбор информации из Интернета;24.03.2025;02.05.2025;
Департамент управления денежным обращением;Обеспечивающий;Document Generation;11.05.2026;21.06.2026;
Департамент управления денежным обращением;Обеспечивающий;Транскрибация;04.07.2025;17.09.2025;
Департамент управления денежным обращением;Обеспечивающий;Детекция, трекинг физических объектов;16.01.2026;04.04.2026;
Департамент управления розничным бизнесом;Обеспечивающий;Генерация медиаконтента;24.09.2026;04.11.2026;
Департамент обеспечения;Обеспечивающий;Анализ на соответствие ЛПА;08.11.2026;19.01.2027;
Департамент обеспечения;Обеспечивающий;Транскрибация;16.02.2025;10.03.2025;12.03.2025
Департамент обеспечения;Обеспечивающий;Document Generation;15.12.2024;25.02.2025;28.03.2025
Департамент бухгалтерского учета;Обеспечивающий;Чат-бот;16.10.2025;07.01.2026;
Департамент бухгалтерского учета;Обеспечивающий;Decision Making ;30.08.2027;09.11.2027;
Департамент бухгалтерского учета;Обеспечивающий;OCR;23.01.2027;17.02.2027;
Департамент бухгалтерского учета;Обеспечивающий;Семантический поиск;23.08.2025;06.11.2025;
Департамент бухгалтерского учета;Обеспечивающий;Анализ на соответствие ЛПА;28.10.2025;01.01.2026;
Департамент бухгалтерского учета;Обеспечивающий;Анализ на ключевые слова;14.07.2025;24.08.2025;
Департамент бухгалтерского учета;Обеспечивающий;Сбор информации из Интернета;06.04.2024;07.06.2024;31.05.2024
Департамент бухгалтерского учета;Обеспечивающий;Транскрибация;10.04.2026;29.06.2026;
Департамент бухгалтерского учета;Обеспечивающий;Document Generation;26.11.2027;20.01.2028;
Департамент управления ИТ;Обеспечивающий;Чат-бот;30.01.2025;03.03.2025;04.04.2025
Департамент управления ИТ;Обеспечивающий;Decision Making ;02.01.2027;13.03.2027;
Департамент управления ИТ;Обеспечивающий;OCR;21.05.2025;11.06.2025;
Департамент управления ИТ;Обеспечивающий;Семантический поиск;22.08.2025;15.11.2025;
Департамент управления ИТ;Обеспечивающий;Анализ на соответствие ЛПА;14.11.2024;17.01.2025;08.01.2025
Департамент управления ИТ;Обеспечивающий;Анализ на ключевые слова;20.11.2025;28.01.2026;
Департамент управления ИТ;Обеспечивающий;Сбор информации из Интернета;09.04.2027;03.05.2027;
Департамент управления ИТ;Обеспечивающий;Транскрибация;16.11.2024;25.01.2025;07.01.2025
Департамент управления ИТ;Обеспечивающий;Голосовой робот;30.07.2026;02.10.2026;
Департамент управления ИТ;Обеспечивающий;Document Generation;02.04.2025;01.07.2025;
Департамент управления ИТ;Обеспечивающий;Детекция, трекинг физических объектов;19.07.2027;15.10.2027;
Департамент управления ИТ;Обеспечивающий;Соритировка и создание атрибутов;23.09.2027;10.12.2027;
Департамент управления ИТ;Обеспечивающий;Создание презентаций ;09.07.2025;07.09.2025;
Департамент кибербезопасности;Обеспечивающий;Чат-бот;29.11.2026;01.02.2027;
Департамент кибербезопасности;Обеспечивающий;Decision Making ;17.03.2026;14.04.2026;
Департамент кибербезопасности;Обеспечивающий;Семантический поиск;04.08.2024;27.08.2024;25.09.2024
Департамент кибербезопасности;Обеспечивающий;Анализ на соответствие ЛПА;03.11.2025;30.01.2026;
Департамент кибербезопасности;Обеспечивающий;Анализ на ключевые слова;28.01.2024;22.02.2024;24.01.2024
Департамент кибербезопасности;Обеспечивающий;Сбор информации из Интернета;02.03.2024;19.04.2024;20.03.2024
Департамент кибербезопасности;Обеспечивающий;Транскрибация;07.06.2024;27.07.2024;28.06.2024
Департамент кибербезопасности;Обеспечивающий;Document Generation;19.05.2024;20.06.2024;29.05.2024
Департамент кибербезопасности;Обеспечивающий;Создание презентаций ;05.09.2024;26.10.2024;17.10.2024
Департамент кибербезопасности;Обеспечивающий;Генерация медиаконтента;20.11.2026;20.01.2027;
Служба безопасности;Обеспечивающий;Чат-бот;05.01.2024;22.02.2024;26.01.2024
Служба безопасности;Обеспечивающий;OCR;17.10.2026;15.12.2026;
Служба безопасности;Обеспечивающий;Анализ на соответствие ЛПА;30.09.2025;06.11.2025;
Служба безопасности;Обеспечивающий;Транскрибация;04.05.2025;30.07.2025;
Служба безопасности;Обеспечивающий;Детекция, трекинг физических объектов;15.05.2027;21.07.2027;
Служба безопасности;Обеспечивающий;Document Generation;02.07.2026;29.08.2026;
Департамент кибербезопасности;Обеспечивающий;OCR;12.12.2025;07.01.2026;
Департамент финансового обеспечения деятельности;Управляющий;OCR;10.02.2025;08.03.2025;24.02.2025
Департамент финансового обеспечения деятельности;Управляющий;Семантический поиск;02.07.2025;10.08.2025;
Департамент финансового обеспечения деятельности;Управляющий;Анализ на соответствие ЛПА;14.06.2024;31.08.2024;01.09.2024
Департамент финансового обеспечения деятельности;Управляющий;Анализ на ключевые слова;11.06.2026;28.07.2026;
Департамент финансового обеспечения деятельности;Управляющий;Сбор информации из Интернета;01.05.2025;10.07.2025;
Департамент финансового обеспечения деятельности;Управляющий;Document Generation;21.02.2027;08.05.2027;
Департамент финансового обеспечения деятельности;Управляющий;Создание презентаций ;19.09.2024;09.10.2024;07.10.2024
HR-департамент;Управляющий;Создание презентаций ;04.11.2025;08.12.2025;
Процессный офис;Управляющий;OCR;30.10.2026;28.11.2026;
Процессный офис;Управляющий;Семантический поиск;05.08.2025;01.10.2025;
Процессный офис;Управляющий;Анализ на соответствие ЛПА;03.03.2024;13.05.2024;05.05.2024
Процессный офис;Управляющий;Анализ на ключевые слова;02.08.2026;05.10.2026;
Процессный офис;Управляющий;Сбор информации из Интернета;28.04.2025;15.06.2025;
Процессный офис;Управляющий;Document Generation;31.05.2024;26.06.2024;18.06.2024
Процессный офис;Управляющий;Создание презентаций ;30.06.2026;12.09.2026;
Департамент управления операциями на финансовом рынке;Управляющий;Соритировка и создание атрибутов;10.11.2025;11.12.2025;
Департамент управления операциями на финансовом рынке;Управляющий;Генерация медиаконтента;08.04.2025;02.06.2025;
Департамент управления операциями на финансовом рынке;Управляющий;Создание презентаций ;03.05.2025;04.07.2025;
Департамент управления региональным/отраслевым бизнесом;Управляющий;Транскрибация;14.06.2026;13.07.2026;
Департамент управления региональным/отраслевым бизнесом;Управляющий;Перевод (инностранные языки);29.05.2027;26.08.2027;
Департамент управления региональным/отраслевым бизнесом;Управляющий;Генерация медиаконтента;16.12.2024;09.02.2025;11.03.2025
Центр управления внутренними продуктами;Управляющий;Сбор информации из Интернета;26.01.2026;12.03.2026;
Центр управления внутренними продуктами;Управляющий;Перевод (инностранные языки);15.06.2026;17.07.2026;
Центр управления внутренними продуктами;Управляющий;Генерация медиаконтента;31.08.2026;08.10.2026;
Департамент управления розничным бизнесом;Управляющий;Соритировка и создание атрибутов;17.05.2025;27.07.2025;
Департамент управления розничным бизнесом;Управляющий;Перевод (инностранные языки);15.09.2024;05.12.2024;28.12.2024
Служба управления обращениями клиентов;Управляющий;Decision Making ;01.11.2024;30.11.2024;17.11.2024
Служба управления обращениями клиентов;Управляющий;Сбор информации из Интернета;18.09.2027;25.10.2027;
Департамент бухгалтерского учета;Управляющий;Создание презентаций ;26.09.2027;01.12.2027;
Департамент внутреннего контроля;Управляющий;Чат-бот;05.11.2026;02.02.2027;
Департамент внутреннего контроля;Управляющий;Decision Making ;18.08.2025;19.09.2025;
Департамент внутреннего контроля;Управляющий;OCR;22.11.2026;10.01.2027;
Департамент внутреннего контроля;Управляющий;Соритировка и создание атрибутов;04.12.2027;17.02.2028;
Департамент внутреннего контроля;Управляющий;Семантический поиск;14.12.2024;06.03.2025;06.03.2025
Департамент внутреннего контроля;Управляющий;Анализ на соответствие ЛПА;12.11.2024;22.12.2024;30.11.2024
Департамент внутреннего контроля;Управляющий;Анализ на ключевые слова;10.05.2024;16.06.2024;07.06.2024
Департамент внутреннего контроля;Управляющий;Сбор информации из Интернета;28.07.2024;13.09.2024;19.09.2024
Служба управления обращениями клиентов;Управляющий;Создание презентаций ;04.09.2024;11.10.2024;03.11.2024
Департамент маркетинга;Управляющий;Соритировка и создание атрибутов;10.11.2024;09.01.2025;10.01.2025
Департамент финансового обеспечения деятельности;Управляющий;Decision Making ;20.05.2027;12.08.2027;
Департамент финансового обеспечения деятельности;Управляющий;Соритировка и создание атрибутов;28.05.2024;23.07.2024;17.07.2024
Департамент юридического сопровождения;Управляющий;OCR;26.04.2026;14.07.2026;
Департамент юридического сопровождения;Управляющий;Семантический поиск;08.04.2027;17.05.2027;
Департамент юридического сопровождения;Управляющий;Анализ на соответствие ЛПА;08.12.2024;21.02.2025;21.03.2025
Департамент юридического сопровождения;Управляющий;Анализ на ключевые слова;06.08.2027;27.08.2027;
Департамент юридического сопровождения;Управляющий;Сбор информации из Интернета;07.10.2024;20.12.2024;24.11.2024
Департамент юридического сопровождения;Управляющий;Document Generation;23.09.2025;03.12.2025;
Департамент юридического сопровождения;Управляющий;Создание презентаций ;31.01.2024;08.03.2024;23.02.2024
Центр управления данными;Управляющий;Decision Making ;27.04.2025;16.07.2025;
Центр управления данными;Управляющий;OCR;14.06.2024;19.07.2024;16.08.2024
Центр управления данными;Управляющий;Соритировка и создание атрибутов;03.02.2026;15.03.2026;
Центр управления данными;Управляющий;Семантический поиск;06.05.2026;05.06.2026;
Центр управления данными;Управляющий;Анализ на ключевые слова;24.01.2026;05.04.2026;
Центр управления данными;Управляющий;Сбор информации из Интернета;12.12.2026;12.02.2027;
Центр управления данными;Управляющий;Чат-бот;28.05.2025;03.08.2025;
Центр управления данными;Управляющий;Транскрибация;12.08.2026;25.10.2026;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
